Datetime,女八九舍(含女九餐廳),女五舍,女一舍,女三舍,女二舍,鹿鳴雅舍
2026-01-16 17:00:00,49.09,7.45,19.73,14.87,27.62,
2026-01-16 18:00:00,43.03,8.76,18.67,16.38,26.66,
2026-01-16 19:00:00,38.24,9.58,21.61,19.55,31.22,
2026-01-16 20:00:00,39.72,11.24,22.38,22.02,46.38,
2026-01-16 21:00:00,50.72,13.4,26.46,19.01,64.02,
2026-01-16 22:00:00,42.62,10.37,26.79,19.64,44.62,
2026-01-16 23:00:00,61.07,9.46,25.12,26.37,64.56,
2026-01-17 00:00:00,60.63,10.29,23.55,25.13,117.09,
2026-01-17 01:00:00,38.96,9.41,24.88,21.09,35.68,
2026-01-17 02:00:00,40.36,7.33,23.37,17.64,20.67,
2026-01-17 03:00:00,32.31,6.54,16.97,16.24,20.37,
2026-01-17 04:00:00,31.79,6.31,14.93,14.37,19.16,
2026-01-17 05:00:00,26.7,6.3,14.97,13.61,45.78,
2026-01-17 06:00:00,27.2,5.89,12.45,12.81,43.42,
2026-01-17 07:00:00,28.77,5.23,12.47,11.89,17.46,
2026-01-17 08:00:00,28.46,5.1,12.92,12.32,18.54,
2026-01-17 09:00:00,33.07,5.33,13.88,17.22,19.59,
2026-01-17 10:00:00,33.58,5.96,21.08,14.57,52.1,
2026-01-17 11:00:00,33.74,5.42,18.8,16.21,34.76,
2026-01-17 12:00:00,32.74,5.91,15.9,14.12,50.96,
2026-01-17 13:00:00,34.29,5.66,14.72,14.99,121.24,
2026-01-17 14:00:00,33.94,5.99,14.93,14.54,40.02,
2026-01-17 15:00:00,32.58,6.29,15.53,19.23,24.49,
2026-01-17 16:00:00,31.42,9.52,23.11,20.4,22.97,
2026-01-17 17:00:00,37.76,14.45,21.1,18.83,23.85,
2026-01-17 18:00:00,37.19,8.43,17.3,17.17,48.44,
